침착맨 (zilioner)	영화평론가 이동진 님 초대석 (구독후원음성X)	시청자 2.1만명	Just Chatting	2022-09-27 17:28:39.841537
우왁굳 (woowakgood)	축구왕 왁돌이	시청자 1만명	FIFA 23	2022-09-27 17:28:39.841537
비챤_ (viichan6)	6시) VRC 풀트뱅 ~!	시청자 7,868명	Just Chatting	2022-09-27 17:28:39.841537
랄로 (aba4647)	와끼얏호우	시청자 6,242명	World of Warcraft	2022-09-27 17:28:39.841537
러너교 (runner0608)	안녕하세요	시청자 4,397명	Just Chatting	2022-09-27 17:28:39.841537
서새봄냥 (saddummy)	서새봄] 로크홀라섭) 리치왕의 분노 클래식 OPEN 같이 달려요~	시청자 4,021명	World of Warcraft	2022-09-27 17:28:39.841537
김도 (kimdoe)	서브노티카 빌로우제로	시청자 3,970명	Subnautica: Below Zero	2022-09-27 17:28:39.841537
홍방장 (game2eye)	홍 전파사 시청자 그래픽카드 보수작업 해주기	시청자 3,082명	Just Chatting	2022-09-27 17:28:39.841537
앰비션_ (lol_ambition)	24연승시 점수복구	시청자 2,940명	League of Legends	2022-09-27 17:28:39.841537
피닉스박1 (xkwhd)	발악귀	시청자 2,325명	VALORANT	2022-09-27 17:28:39.841537
소풍왔니 (yumyumyu77)	리치왕의 재붕노 첫 시작! 방가방가소붕	시청자 1,843명	World of Warcraft	2022-09-27 17:28:39.841537
중력 (jungryeok)	중력팀 비방연습후 깨달음..	시청자 1,452명	Just Chatting	2022-09-27 17:28:39.841537
김뿡_ (bbonge_)	뿡) 탑 호디르	시청자 1,430명	League of Legends	2022-09-27 17:28:39.841537
이초홍 (h920103)	@_@	시청자 1,389명	Just Chatting	2022-09-27 17:28:39.841537
두니주니 (dunizuni)	ㅎㅇ	시청자 1,188명	Teamfight Tactics	2022-09-27 17:28:39.841537
히렌히 (hyren7)	리치킹	시청자 1,136명	World of Warcraft	2022-09-27 17:28:39.841537
스틸로 (steelohs)	파파존스 피자 먹방	시청자 1,095명	Just Chatting	2022-09-27 17:28:39.841537
Rb0f	DRX Rb / 휴가	시청자 1,042명	VALORANT	2022-09-27 17:28:39.841537
포셔 (portialyn)	-로- 조금 하다가 끔	시청자 1,030명	Lost Ark	2022-09-27 17:28:39.841537
박삐삐__ (smpk9604)	삐하~	시청자 978명	Just Chatting	2022-09-27 17:28:39.841537
21번째에서 오류				 2022-09-27 17:28:39.841537
22번째에서 오류				 2022-09-27 17:28:39.841537
찬우정 (jcw970)	(진심)챌린저 달리기 2일차	시청자 786명	League of Legends	2022-09-27 17:28:39.841537
헤징 (hejin0_0)	롤체륑	시청자 762명	Teamfight Tactics	2022-09-27 17:28:39.841537
설백_ (snow_hite)	[설백] 오른쪽 아래 !편집자	시청자 720명	Just Chatting	2022-09-27 17:28:39.841537
캡틴잭 (hwkang2)	오르골 8개 모아서 스탯 50 받는 극한의 수직충	시청자 689명	Lost Ark	2022-09-27 17:28:39.841537
배돈 (baedony)	리치왕의분노 태어나서 처음 합니다	시청자 638명	World of Warcraft	2022-09-27 17:28:39.841537
액시스마이콜 (sn400ja)	노합류론	시청자 619명	League of Legends	2022-09-27 17:28:39.841537
아리스마나 (alicemana_v)	하이루	시청자 609명	Just Chatting	2022-09-27 17:28:39.841537
김하선 (kimhasun)	어서와 낮방은 처음이지?	시청자 562명	Just Chatting	2022-09-27 17:28:39.841537
칸데르니아 (jmjdoc)	발키리 엘리시움	시청자 556명	Valkyrie Elysium	2022-09-27 17:28:39.841537
인섹_ (insec13)	대기열180만갓겜	시청자 540명	League of Legends	2022-09-27 17:28:39.841537
33번째에서 오류				 2022-09-27 17:28:39.841537
설소영 (mobeom17)	다크악셀 없이 살기 4일차 (살만함)	시청자 487명	Lost Ark	2022-09-27 17:28:39.841537
크라니쉬 (kranichhs)	젠지 하스스톤 프로그램 !부트캠프 / 내일 나스리아 미니팩 출시	시청자 487명	Hearthstone	2022-09-27 17:28:39.841537
36번째에서 오류				 2022-09-27 17:28:39.841537
철면수심 (109ace)	허준이 되어 사람 살리기	시청자 486명	Bio Inc. Redemption	2022-09-27 17:28:39.841537
진격캐넌 (xorhkd321)	이세계 택티컬대비 신궁 200만들기	시청자 470명	MapleStory	2022-09-27 17:28:39.841537
세아스토리 (sea_vtuber)	방제 정하기 모듈이 작동하지 않습니다.	시청자 466명	Just Chatting	2022-09-27 17:28:39.841537
던ㅤ (dawnhs)	ㅡㅅㅡ;;	시청자 448명	League of Legends	2022-09-27 17:28:39.841537
41번째에서 오류				 2022-09-27 17:28:39.841537
42번째에서 오류				 2022-09-27 17:28:39.841537
나기상 (mingnagi)	와 엉덩겜 (테크니컬 테스트 당첨됨)	시청자 432명	Nikke: The Goddess of Victory	2022-09-27 17:28:39.841537
청묘 (i_am_bloooo)	유니온 하고싶어요	시청자 424명	MapleStory	2022-09-27 17:28:39.841537
우사기인뎅 (ny991017)	study with me / 15:00- 19:00	시청자 419명	Just Chatting	2022-09-27 17:28:39.841537
ato1004fd	D	시청자 409명	아트	2022-09-27 17:28:39.841537
빅헤드 (bighead033)	대규모 노동 드가자	시청자 407명	Minecraft	2022-09-27 17:28:39.841537
