index,galaxy
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,1
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,1
21,0
22,1
23,1
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,0
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,0
45,1
46,0
47,1
48,0
49,1
50,1
51,0
52,1
53,0
54,0
55,0
56,1
57,1
58,1
59,1
60,1
61,0
62,1
63,1
64,1
65,0
66,0
67,1
68,0
69,1
70,1
71,1
72,1
73,0
74,0
75,0
76,0
77,0
78,0
79,1
80,1
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,1
90,1
91,0
92,1
93,0
94,1
95,1
96,1
97,1
98,0
99,1
100,0
101,0
102,0
103,0
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,1
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,0
126,0
127,1
128,1
129,0
130,0
131,1
132,1
133,0
134,0
135,1
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,0
144,1
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,0
153,1
154,1
155,0
156,0
157,0
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,0
171,0
172,0
173,1
174,1
175,1
176,1
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,1
212,1
213,1
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,1
232,1
233,0
234,0
235,1
236,0
237,0
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,0
250,0
251,0
252,1
253,1
254,1
255,1
256,1
257,0
258,0
259,0
260,0
261,0
262,0
263,1
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,0
273,1
274,1
275,1
276,0
277,0
278,0
279,1
280,0
281,0
282,1
283,0
284,0
285,1
286,1
287,0
288,0
289,0
290,0
291,1
292,0
293,0
294,1
295,1
296,0
297,1
298,1
299,0
300,1
301,1
302,1
303,1
304,1
305,0
306,1
307,0
308,0
309,0
310,1
311,1
312,0
313,1
314,0
315,1
316,0
317,1
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,0
326,0
327,0
328,0
329,1
330,0
331,1
332,0
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,0
346,0
347,1
348,0
349,0
350,1
351,1
352,0
353,0
354,0
355,0
356,1
357,0
358,0
359,1
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,1
380,1
381,1
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,1
393,1
394,0
395,0
396,1
397,0
398,1
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,0
407,0
408,1
409,1
410,0
411,1
412,1
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,0
421,0
422,0
423,1
424,1
425,1
426,0
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,1
435,0
436,1
437,1
438,1
439,1
440,1
441,0
442,0
443,1
444,1
445,0
446,0
447,0
448,1
449,0
450,1
451,0
452,1
453,0
454,0
455,1
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,0
471,1
472,1
473,1
474,0
475,1
476,0
477,1
478,1
479,1
480,0
481,0
482,0
483,1
484,0
485,1
486,0
487,1
488,1
489,1
490,0
491,0
492,1
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,0
503,0
504,1
505,0
506,0
507,1
508,0
509,1
510,1
511,1
512,1
513,0
514,1
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,1
523,0
524,0
525,0
526,1
527,1
528,0
529,0
530,0
531,1
532,0
533,0
534,0
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,0
546,0
547,1
548,1
549,0
550,1
551,1
552,0
553,1
554,1
555,1
556,0
557,0
558,0
559,1
560,1
561,1
562,1
563,1
564,0
565,0
566,1
567,0
568,1
569,1
570,0
571,1
572,1
573,1
574,1
575,0
576,0
577,0
578,0
579,0
580,0
581,1
582,1
583,0
584,0
585,1
586,1
587,1
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,0
596,0
597,0
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,1
607,1
608,0
609,1
610,1
611,0
612,1
613,0
614,1
615,0
616,1
617,0
618,1
619,1
620,1
621,1
622,1
623,0
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,0
632,1
633,0
634,0
635,1
636,1
637,0
638,1
639,1
640,0
641,1
642,0
643,0
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,0
653,1
654,1
655,0
656,1
657,1
658,0
659,1
660,0
661,1
662,1
663,0
664,1
665,0
666,1
667,1
668,1
669,1
670,0
671,0
672,1
673,1
674,0
675,0
676,0
677,0
678,1
679,0
680,1
681,1
682,1
683,0
684,0
685,1
686,1
687,1
688,1
689,0
690,1
691,1
692,0
693,0
694,1
695,1
696,0
697,0
698,1
699,1
700,0
701,1
702,0
703,0
704,0
705,0
706,1
707,1
708,1
709,1
710,0
711,0
712,0
713,0
714,1
715,1
716,1
717,0
718,1
719,1
720,1
721,0
722,0
723,1
724,0
725,1
726,1
727,0
728,1
729,0
730,0
731,1
732,1
733,1
734,0
735,1
736,1
737,1
738,0
739,1
740,0
741,1
742,1
743,1
744,0
745,0
746,1
747,0
748,0
749,1
750,0
751,1
752,1
753,1
754,1
755,1
756,1
757,0
758,0
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,1
767,0
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,0
778,1
779,1
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,1
788,1
789,0
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,0
800,1
801,1
802,0
803,0
804,0
805,0
806,1
807,0
808,0
809,1
810,0
811,0
812,1
813,0
814,1
815,1
816,1
817,1
818,1
819,1
820,0
821,1
822,1
823,1
824,1
825,0
826,1
827,1
828,0
829,1
830,1
831,1
832,0
833,1
834,0
835,0
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,0
844,1
845,0
846,1
847,0
848,0
849,1
850,1
851,0
852,1
853,1
854,1
855,1
856,1
857,1
858,1
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,1
867,1
868,1
869,1
870,1
871,0
872,1
873,1
874,1
875,1
876,0
877,1
878,1
879,0
880,1
881,0
882,0
883,1
884,1
885,0
886,0
887,0
888,0
889,1
890,1
891,1
892,1
893,0
894,0
895,1
896,1
897,1
898,1
899,0
900,0
901,0
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,0
911,0
912,0
913,1
914,0
915,1
916,1
917,0
918,1
919,1
920,1
921,0
922,1
923,1
924,0
925,1
926,0
927,0
928,0
929,0
930,0
931,1
932,0
933,0
934,0
935,1
936,0
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,1
945,1
946,1
947,1
948,0
949,0
950,0
951,0
952,0
953,1
954,1
955,1
956,1
957,1
958,1
959,0
960,1
961,1
962,0
963,0
964,1
965,1
966,1
967,1
968,0
969,0
970,0
971,0
972,0
973,0
974,1
975,1
976,1
977,0
978,1
979,0
980,1
981,0
982,1
983,1
984,0
985,1
986,1
987,1
988,1
989,0
990,0
991,0
992,0
993,0
994,1
995,1
996,0
997,1
998,0
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,1
1006,0
1007,0
1008,1
1009,0
1010,1
1011,1
1012,1
1013,0
1014,1
1015,1
1016,1
1017,0
1018,1
1019,1
1020,0
1021,0
1022,1
1023,1
1024,0
1025,1
1026,0
1027,0
1028,0
1029,1
1030,0
1031,0
1032,0
1033,0
1034,0
1035,0
1036,0
1037,0
1038,1
1039,0
1040,1
1041,0
1042,1
1043,1
1044,1
1045,1
1046,0
1047,0
1048,1
1049,1
1050,1
1051,0
1052,0
1053,0
1054,1
1055,0
1056,0
1057,0
1058,1
1059,0
1060,1
1061,1
1062,0
1063,0
1064,1
1065,1
1066,1
1067,0
1068,1
1069,1
1070,1
1071,0
1072,1
1073,0
1074,0
1075,0
1076,1
1077,0
1078,1
1079,1
1080,1
1081,1
1082,1
1083,0
1084,1
1085,1
1086,0
1087,1
1088,1
1089,1
1090,0
1091,1
1092,0
1093,1
1094,0
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,1
1102,1
1103,1
1104,0
1105,1
1106,0
1107,1
1108,1
1109,0
1110,0
1111,1
1112,1
1113,1
1114,1
1115,0
1116,0
1117,0
1118,1
1119,1
1120,1
1121,1
1122,1
1123,1
1124,0
1125,0
1126,1
1127,1
1128,1
1129,1
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,0
1137,0
1138,1
1139,1
1140,0
1141,1
1142,0
1143,1
1144,1
1145,1
1146,1
1147,1
1148,0
1149,1
1150,1
1151,0
1152,0
1153,0
1154,1
1155,0
1156,0
1157,0
1158,1
1159,1
1160,0
1161,0
1162,0
1163,1
1164,0
1165,0
1166,1
1167,0
1168,0
1169,1
1170,1
1171,1
1172,1
1173,1
1174,1
1175,1
1176,1
1177,1
1178,0
1179,1
1180,1
1181,1
1182,0
1183,1
1184,1
1185,0
1186,0
1187,1
1188,0
1189,1
1190,1
1191,1
1192,0
1193,1
1194,1
1195,1
1196,0
1197,0
1198,1
1199,0
1200,1
1201,1
1202,1
1203,1
1204,1
1205,1
1206,0
1207,0
1208,1
1209,1
1210,1
1211,0
1212,1
1213,1
1214,0
1215,1
1216,0
1217,0
1218,0
1219,1
1220,0
1221,0
1222,0
1223,0
1224,0
1225,1
1226,0
1227,1
1228,1
1229,1
