ID,Reached.on.Time_Y.N
7007,0
9793,1
6593,0
10527,0
6914,1
7503,1
3861,0
7173,0
10721,1
2448,1
9469,0
9041,0
7452,1
9627,1
5480,0
3631,0
8045,1
1305,1
10002,0
10943,0
10655,0
1931,1
9266,0
6175,0
7880,0
6084,0
193,1
3095,1
7505,0
4156,0
8168,0
1275,1
7741,0
7706,1
9995,0
10277,0
9892,1
10525,0
1049,1
3099,1
6261,1
9641,0
7395,0
6488,0
7123,0
4299,0
5767,0
1006,1
2553,1
855,1
8977,0
5633,0
9331,0
4934,0
1409,1
8596,0
5971,1
7485,0
6881,1
5459,0
9387,1
2015,1
10053,0
438,1
518,1
2683,1
7701,0
5395,0
2960,1
9322,0
9911,0
3547,0
7959,0
3315,0
10221,1
1482,1
2754,1
1807,1
1554,1
10427,0
9893,0
4401,0
6153,1
5638,0
5818,0
9736,0
9398,1
447,1
10678,0
6438,0
1866,1
9270,1
10288,0
7309,0
5313,1
5252,0
5749,1
2217,1
5807,0
2535,1
10344,1
2569,1
8743,0
8144,1
1533,1
5554,0
9364,0
6923,0
10658,1
2543,1
1989,1
1538,1
9299,0
6550,0
1959,1
7117,0
3722,0
10256,0
4225,1
3016,1
1366,1
4603,0
6382,0
4173,0
1077,1
992,1
6899,0
95,1
289,1
4840,0
10577,0
5556,0
10149,0
5308,0
7305,0
1069,1
1032,1
6023,0
7798,0
6479,0
2134,1
5148,1
9725,0
3341,0
10533,1
4969,0
9534,0
8447,0
10646,0
7837,0
8373,0
8708,1
5715,0
4941,1
3760,0
8682,0
10435,1
3110,1
5882,0
2145,1
8890,0
9122,0
9550,0
5562,1
2542,1
8693,0
8149,0
4794,0
3075,1
1895,1
7182,0
2350,1
2838,1
9926,0
6519,1
9097,0
9247,0
3203,0
7149,0
5875,0
6962,0
7520,1
8487,0
7864,0
2400,1
9143,0
10672,0
2320,1
9676,0
9623,0
7094,0
2966,1
6160,1
5244,1
1076,1
5035,1
4115,0
8082,0
6709,0
8030,0
10340,0
8617,1
7328,0
10810,0
3169,1
465,1
9697,1
4631,0
7981,0
5147,0
10771,1
4245,0
1443,1
431,1
1100,1
8660,0
5972,0
5621,0
9433,0
1976,1
9665,1
6823,0
9291,0
9396,0
368,1
4733,0
3471,1
7079,0
2781,1
557,1
427,1
10409,0
1627,1
8188,0
8639,1
2788,1
6283,0
3645,0
2906,1
5848,0
920,1
